COL_NAME,ALIAS,OUTPUT_DTYPE,VALUE_NAN_STR,REQ_NAN_STR_FILL,VALUE_NAN_NUM,REQ_NAN_NUM_FILL
SHAPE,SHAPE,,,No,,No
OV_CLSR_MEAN,Overstory Closure,int32,,No,0,Yes
UND_HT_RG,Understory Height Range,string,NONE,Yes,,No
LIVE_BA,BA for Live Trees,float64,,No,0,Yes
INV_PRESENT,Invasive Species Present,string,No,Yes,,No
INV_SP,Invasive Species Identified,string,NONE,Yes,,No
INVT_YEAR,Inventory Year or Years,string,No Inventory,Yes,,No
HM_TPA,Hard Mast TPA,float64,,No,0,Yes
AGE_ORIG,Mean Origin Year,int32,,No,0,Yes
DEAD_TPA,Dead TPA,float64,,No,0,Yes
SD_TPA,Significant Decline TPA,float64,,No,0,Yes
STR_TPA,Stressed TPA,float64,,No,0,Yes
HLTH_TPA,Healthy TPA,float64,,No,0,Yes
CNP_TPA,Canopy TPA,float64,,No,0,Yes
CNP_D_TPA,Dead Canopy TPA,float64,,No,0,Yes
CNP_DOM_HLTH,Canopy Dominant Health Class,string,NONE,Yes,,No
CNP_DOM_HLTH_PCMP,Canopy Dominant Health Class % Composition,float64,,No,0,Yes
CNP_DOM_SP,Canopy Dominant Species,string,NONE,Yes,,No
CNP_DOM_SP_PCMP,Canopy Dominant Species % Composition,float64,,No,0,Yes
MID_DOM_HLTH,Midstory Dominant Health Class,string,NONE,Yes,,No
MID_DOM_HLTH_PCMP,Midstory Dominant Health Class % Composition,float64,,No,0,Yes
MID_DOM_SP,Midstory Dominant Species,string,NONE,Yes,,No
MID_DOM_SP_PCMP,Midstory Dominant Species % Composition,float64,,No,0,Yes
INT_DOM_HLTH,Intermediate Dominant Health Class,string,NONE,Yes,,No
INT_DOM_HLTH_PCMP,Intermediate Dominant Health Class % Composition,float64,,No,0,Yes
INT_DOM_SP,Intermidiate Dominant Species,string,NONE,Yes,,No
INT_DOM_SP_PCMP,Intermediate Dominant Species % Composition,float64,,No,0,Yes
